"","Row.names","sentences","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","sentence","total_sentiment"
"1","1","Anders couldn't get to the bank until just before it closed, so of course the line was endless and he got stuck behind two women whose loud, stupid conversation put him in a murderous temper.",2,0,1,2,1,2,1,2,3,1,1,15
"56","2","He was never in the best of tempers anyway, Anders - a book critic known for the weary, elegant savagery with which he dispatched almost everything he reviewed.",1,0,0,1,1,1,0,0,3,1,2,8
"67","3","With the line still doubled around the rope, one of the tellers stuck a ""POSITION CLOSED"" sign in her window and walked to the back of the bank, where she leaned against a desk and began to pass the time with a man shuffling papers.",0,1,0,0,0,0,0,1,0,0,3,2
"78","4","The women in front of Anders broke off their conversation and watched the teller with hatred.",1,0,1,2,0,2,0,0,2,0,4,8
"89","5","""Oh, that's nice,"" one of them said.",0,0,0,0,0,0,0,0,0,0,5,0
"100","6","She turned to Anders and added, confident of his accord, ""One of those little human touches that keep us coming back for more.""",0,1,0,0,1,0,0,2,0,2,6,6
"111","7","Anders had conceived his own towering hatred of the teller, but he immediately turned it on the presumptuous crybaby in front of him.",2,2,2,2,0,1,0,0,3,2,7,14
"122","8","""Damned unfair,"" he said.",1,0,1,0,0,1,0,0,2,0,8,5
"133","9","""Tragic, really.",0,0,0,0,0,0,0,0,1,0,9,1
"2","10","If they're not chopping off the wrong leg, or bombing your ancestral village, they're closing their positions.""",0,0,0,0,0,0,0,1,1,0,10,2
"13","11","She stood her ground.",0,0,0,0,0,0,0,1,0,0,11,1
"24","12","""I didn't say it was tragic,"" she said.",0,0,0,0,0,0,0,0,1,0,12,1
"35","13","""I just think it's a pretty lousy way to treat your customers.""",1,2,1,1,2,1,1,2,1,2,13,14
"46","14","""Unforgivable,"" Anders said.",0,0,0,0,0,0,0,0,0,0,14,0
"51","15","""Heaven will take note.""",0,0,0,0,0,0,0,0,0,0,15,0
"52","16","She sucked in her cheeks but stared past him and said nothing.",0,0,0,0,0,0,0,0,0,0,16,0
"53","17","Anders saw that the other woman, her friend, was looking in the same direction.",0,0,0,0,1,0,0,1,0,1,17,3
"54","18","And then the tellers stopped what they were doing, and the customers slowly turned, and silence came over the bank.",0,0,0,0,0,0,0,1,0,0,18,1
"55","19","Two men wearing black ski masks and blue business suits were standing to the side of the door.",0,0,0,0,0,2,0,0,1,1,19,4
"57","20","One of them had a pistol pressed against the guard's neck.",0,0,0,0,0,0,0,0,1,0,20,1
"58","21","The guard's eyes were closed, and his lips were moving.",0,0,0,0,0,0,0,0,0,0,21,0
"59","22","The other man had a sawed-off shotgun.",0,0,0,0,0,0,0,0,0,0,22,0
"60","23","""Keep your big mouth shut!""",0,0,0,0,0,0,1,0,0,0,23,1
"61","24","the man with the pistol said, though no one had spoken a word.",0,0,0,0,0,0,0,1,1,1,24,3
"62","25","""One of you tellers hits the alarm, you're all dead meat.",0,0,0,1,0,0,1,0,1,0,25,3
"63","26","Got it?""",0,0,0,0,0,0,0,0,0,0,26,0
"64","27","The tellers nodded.",0,0,0,0,0,0,0,0,0,0,27,0
"65","28","1  ""Oh, bravo, "" Anders said.",0,0,0,0,0,0,0,0,0,0,28,0
"66","29","""Dead meat.""",0,0,0,0,0,0,0,0,0,0,29,0
"68","30","He turned to the woman in front of him.",0,0,0,0,0,0,0,0,0,0,30,0
"69","31","""Great script, eh?",0,0,0,0,0,0,0,0,0,1,31,1
"70","32","The stern, brass-knuckled poetry of the dangerous classes.""",0,0,0,1,0,0,0,0,2,0,32,3
"71","33","She looked at him with drowning eyes.",0,0,0,0,0,0,0,0,0,0,33,0
"72","34","The man with the shotgun pushed the guard to his knees.",0,0,0,1,0,0,0,1,0,1,34,3
"73","35","He handed up the shotgun to his partner and yanked the guard's wrists up behind his back and locked them together with a pair of handcuffs.",0,0,0,0,0,0,0,0,0,1,35,1
"74","36","He toppled him onto the floor with a kick between the shoulder blades.",1,0,0,0,0,0,0,1,1,1,36,4
"75","37","Then he took his shotgun back and went over to the security gate at the end of the counter.",0,0,0,0,0,0,0,1,0,0,37,1
"76","38","He was short and heavy and moved with peculiar slowness, even torpor.",0,0,0,0,0,0,0,0,1,0,38,1
"77","39","""Buzz him in,"" his partner said.",0,1,0,1,0,0,0,0,0,2,39,4
"79","40","The man with the shotgun opened the gate and sauntered along the line of tellers, handing each of them a Hefty bag.",0,0,0,0,0,0,0,1,0,0,40,1
"80","41","When he came to the empty position he looked over at the man with the pistol, who said, ""Whose slot is that?""",0,0,0,0,0,0,0,0,1,0,41,1
"81","42","Anders watched the teller.",0,0,0,0,0,0,0,0,0,0,42,0
"82","43","She put her hand to her throat and turned to the man she'd been talking to.",0,0,0,0,0,0,0,0,0,0,43,0
"83","44","He nodded.",0,0,0,0,0,0,0,0,0,0,44,0
"84","45","""Mine,"" she said.",0,0,0,0,0,0,0,0,0,0,45,0
"85","46","""Then get your ugly ass in gear and fill that bag.""",0,0,1,0,0,0,0,1,2,1,46,5
"86","47","""There you go,"" Anders said to the woman in front of him.",0,0,0,0,0,0,0,0,0,0,47,0
"87","48","""Justice is done.""",0,0,0,0,0,0,0,1,0,1,48,2
"88","49","""Hey!",0,0,0,0,0,0,0,0,0,0,49,0
"90","50","Bright boy!",0,0,1,0,0,0,0,0,1,0,50,2
"91","51","Did I tell you talk?""",0,0,0,0,0,0,0,0,0,1,51,1
"92","52","""No,"" Anders said.",0,0,0,0,0,0,0,0,0,0,52,0
"93","53","""Then shut your trap.""",0,0,0,0,0,0,0,0,0,0,53,0
"94","54","""Did you hear that?""",0,0,0,0,0,0,0,0,0,0,54,0
"95","55","Anders said.",0,0,0,0,0,0,0,0,0,0,55,0
"96","56","""'Bright boy.'",0,0,1,0,0,0,0,0,1,0,56,2
