"","Row.names","sentences","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","sentence","total_sentiment"
"1","1","It was very late and everyone had left the cafe except an old man who sat in the shadow the leaves of the tree made against the electric light.",1,1,1,0,2,1,2,1,1,3,1,13
"29","124","""It is not only a question of youth and confidence although those things are very beautiful.",1,1,0,2,3,0,1,1,0,4,124,13
"12","109","""You have youth, confidence, and a job,"" the older waiter said.""",1,1,0,2,2,1,1,1,0,3,109,12
"39","133","Turning off the electric light he continued the conversation with himself, It was the light of course but it is necessary that the place be clean and pleasant.",0,1,0,0,3,0,2,2,0,3,133,11
"87","3","The two waiters inside the cafe knew that the old man was a little drunk, and while he was a good client they knew that if he became too drunk he would leave without paying, so they kept watch on him.",0,2,0,1,1,1,2,1,1,2,3,11
"70","161","Hewould lie in the bed and finally, with daylight, he would go to sleep.",1,1,2,0,1,1,1,1,1,1,161,10
"33","128","This is a clean and pleasant cafe.",0,1,0,0,2,0,1,2,0,3,128,9
"13","11","They sat together at a table that was close against the wall near the door of the cafe and looked at the terrace where the tableswere all empty except where the old man sat in the shadow of the leaves of the tree that moved slightly in the wind.",1,1,1,0,1,0,1,1,0,2,11,8
"19","115","I have never had confidence and I am not young.""",0,1,0,1,2,0,1,1,0,2,115,8
"76","2","In the day time the street was dusty, but at night the dew settled the dust and the old man liked to sit late because he was deaf and now at night it was quiet and he felt the difference.",0,1,0,0,0,2,0,0,3,1,2,7
"2","10","""He has plenty of money.""",1,1,0,0,1,0,1,1,0,1,10,6
"37","131","""Good night,"" said the younger waiter.",0,1,0,0,1,0,1,1,0,2,131,6
"110","50","""How much money has he got?""",1,1,0,0,1,0,1,1,0,1,50,6
"6","103","You have no fear of going home before your usual hour?""",1,0,0,1,0,0,0,1,1,1,103,5
"7","104","""Are you trying to insult me?""",1,0,1,0,0,1,1,0,1,0,104,5
"36","130","The light is very good and also, now, there are shadows of the leaves.""",0,1,0,0,1,0,1,1,0,1,130,5
"38","132","""Good night,"" the other said.",0,1,0,0,1,0,1,1,0,1,132,5
"49","142","Our nada who art in nada, nada be thy name thy kingdom nada thy will be nada in nada as it is in nada.",0,1,0,0,1,1,1,0,0,1,142,5
"52","145","He smiled and stood before a bar with a shining steam pressure coffee machine.",0,1,0,0,1,0,0,1,1,1,145,5
"60","152","""The light is very bright and pleasant but the bar is unpolished,""the waiter said.",0,1,0,0,1,0,1,1,0,1,152,5
"117","57","""He's lonely.",1,0,1,1,0,1,0,0,1,0,57,5
"118","58","I'm not lonely.",1,0,1,1,0,1,0,0,1,0,58,5
"120","6","""He was in despair.""",1,0,1,1,0,1,0,0,1,0,6,5
"122","61","""A wife would be no good to him now.""",0,1,0,0,1,0,1,1,0,1,61,5
"129","68","An old man is a nasty thing.""",1,0,1,1,0,1,0,0,1,0,68,5
"9","106","""No,"" the waiter who was in a hurry said, rising from pulling down the metal shutters.",0,2,0,0,1,0,0,0,0,1,106,4
"10","107","""I have confidence.",0,0,0,1,1,0,0,1,0,1,107,4
"11","108","I am all confidence.""",0,0,0,1,1,0,0,1,0,1,108,4
"22","118","""I am of those who like to stay late at the cafe,"" the older waitersaid.",0,0,0,0,0,2,0,0,1,1,118,4
"51","144","Hail nothing full of nothing, nothing is with thee.",0,0,0,0,0,0,0,1,1,2,144,4
"57","15","""The guard will pick him up,"" one waiter said.",0,0,0,1,0,0,0,1,0,2,15,4
"67","159","A clean, well-lighted cafe was a very different thing.",0,0,0,0,1,0,0,1,0,2,159,4
"94","36","The waiter poured on into the glass so that the brandy slopped over and ran down the stem into the top saucer of the pile.""",0,1,0,0,0,0,0,1,1,1,36,4
"98","4","""Last week he tried to commit suicide,"" one waiter said.",1,0,0,1,0,1,0,0,1,0,4,4
"141","79","""Finished,"" he said, speaking with that omission of syntax stupid people employ when talking to drunken people or foreigners.",0,0,1,0,0,0,0,1,2,0,79,4
